file,word_count,has_image,description_length,title,medium,year
art/branding/cd-cover-demos-for-shim.md,9,no,48,CD Cover Demos for SHIM,Digital,2009
art/branding/game-instructions-booklet-of-politically-correct-the-game.md,15,no,104,Game Instructions Booklet of Politically Correct the Game,Digital,2007
art/branding/logo-created-for-clifford-dunn-music.md,0,no,44,Logo Created for Clifford Dunn Music,Digital,2008
art/branding/logo-for-politically-correct-the-game.md,0,no,56,Logo for DIP - The company behind Politically Correct the Game,Digital,2007
art/branding/politically-correct-the-game-website-design.md,4,yes,28,Politically Correct the Game Website Design,Digital,2007
art/branding/product-box-for-bj-clinton-bobble-head.md,13,no,76,Product Box for BJ Clinton Bobble Head,Digital,2007
art/branding/store-coupon-created-for-collectible-supplies.md,0,no,51,Store Coupon Created for Collectible Supplies,,2008
art/branding/surf-the-splash-screen.md,13,yes,74,Surf the splash screen,Digital,2008
art/branding/web-layout-concept-for-clifford-dunn-music.md,12,yes,45,Web Layout Concept for Clifford Dunn Music,Digital,2008
art/study/a-couple-of-sketches-i-did-for-graffiti-on-facebook.md,4,yes,56,A couple of sketches I did for Graffiti on Facebook,Digital,2010
art/study/life-drawing-anatomy-study-and-sketches.md,0,yes,58,"Life Drawing, Anatomy Study and Sketches",Pencil,2007
art/study/life-drawing-clown.md,0,yes,56,Life Drawing: Clown,Pencil,2007
art/study/life-drawing-faith.md,0,yes,49,Life Drawing-Faith,Pencil,2007
art/study/life-drawing-female-study-and-sketches.md,0,yes,66,Life Drawing Female Study and Sketches ,Pencil,2007
art/study/life-drawing-man.md,0,yes,33,"Life Drawing, Man",Pencil,2007
art/study/life-drawing-matter-of-fact.md,0,yes,55,Life Drawing-Matter of Fact,Pencil,2007
art/study/life-drawing-more-female-study-and-sketches.md,0,yes,56,Life Drawing More Female Study and Sketches,Pencil,2007
art/study/life-drawing-reflection.md,0,yes,56,Life Drawing-Reflection,Pencil,2007
art/study/life-drawing-sketches-2.md,0,yes,59,Life Drawing Sketches,Digital,2007
art/study/life-drawing-sketches.md,0,yes,58,Some Life Drawing Sketches,Pencil,2007
art/study/life-drawing-study.md,0,yes,37,Life Drawing Study,Digital,2007
art/study/life-drawing-woman.md,0,yes,35,"Life Drawing, Woman",Pencil,2007
art/study/life-drawingcivic-burden.md,0,yes,53,Life Drawing–Civic Burden,Pencil,2007
art/study/life-drawingconcern.md,0,yes,48,Life Drawing–Concern,Pencil,2007
art/study/life-drawinglazy-morning.md,0,yes,52,Life Drawing–Lazy Morning,Pencil,2007
art/study/life-drawingmidnight-window.md,0,yes,56,Life Drawing–Midnight Window,Pencil,2007
art/study/life-drawingmissing-you.md,0,yes,54,Life Drawing–Missing You,Pencil,2007
art/study/life-drawingsummer-day.md,0,yes,47,Life Drawing–Summer Day,Pencil,2007
art/study/life-drawingwaiting.md,0,yes,47,Life Drawing–Waiting,Pencil,2007
art/study/sketch-of-the-day-service.md,5,yes,27,Sketch of the day: Service,Digital,2009
art/study/sketchbook-therapy-easter-detective.md,15,yes,81,Sketchbook Therapy - Easter Detective,,2015
art/illustration/birthday-flight.md,14,yes,82,Birthday Flight,Digital,2016
art/illustration/call-to-arms.md,12,no,73,Call to Arms,Digital,2009
art/illustration/chaos-warrior.md,5,yes,39,Chaos Warrior,Digital,2009
art/illustration/christmas-commission-wow-character.md,7,yes,46,Christmas Commission: WoW character,Digital,2008
art/illustration/reptiles-and-robots-oh-my.md,12,yes,142,"Reptiles and Robots, Oh My!",Digital,2007
art/illustration/wcr-archmage-lounging.md,17,yes,146,WCR: Archmage Lounging,Digital,2007
art/illustration/wcr-ghoul-chow.md,13,yes,134,WCR: Ghoul Chow,Mixed Media,2007
art/illustration/wcr-headhunter-havoc.md,16,yes,150,WCR: Headhunter Havoc,Pencil,2007
art/illustration/wcr-pirates.md,12,yes,111,WCR: Pirates,Digital,2005
art/illustration/what-makes-the-grass-grow.md,0,yes,50,What makes the grass grow?,Digital,2008
art/esports/article-banners-for-wcr.md,18,yes,65,Article Banners for WCR,Digital,2009
art/esports/backgrounds-for-wcr-replay-generator.md,8,no,61,Backgrounds for WCR Replay Generator,Digital,2009
art/esports/dahnjin-undead-troll.md,12,yes,67,Dahnjin - Undead Troll,Digital,2009
art/esports/grubby-business-card.md,18,yes,106,Grubby Business Card,Digital,2011
art/esports/topreplays-avatars.md,15,yes,95,TopReplays Avatars,Digital,2010
art/esports/wcr-avatars.md,0,yes,61,WCR: Avatars,Digital,2008
art/esports/wcr-race-wars.md,11,no,107,WCR: Race Wars,Digital,2005
art/esports/wcr-signatures.md,0,yes,60,WCR: Signatures,Digital,2008
blog/mans-best-friend.md,15,no,91,Man's Best Friend,,
blog/mini-portfolio-contact-info.md,16,no,61,Mini Portfolio added to contact information,,
